Division,Court,country,class,product,person,agent,Role,Town-Country,Longitude,Latitude
C,11,Germany,"22. Iron, Brass, Pewter, and General Hardware",Hooks and eyes.,E. Hummel,,manu.,"Nuremberg, Germany",11.0796553,49.4254092
C,11,Germany,"22. Iron, Brass, Pewter, and General Hardware",Brass ware.,Schatt,,manu.,"Nuremberg, Germany",11.0796553,49.4254092
C,11,Germany,"22. Iron, Brass, Pewter, and General Hardware",Bells.,Satt,,manu.,"Nuremberg, Germany",11.0796553,49.4254092
C,"14, 15, West Gallery",France,23. Work in Precious Metals,"A variety of bronzes, <fcc.","Gruitgens, Sen.",,manu.,"Paris, France",2.3522219,48.856614
C,"14, 15, West Gallery",France,23. Work in Precious Metals,"Various bronzes,  _    ¥Ë_    _ _    ¥Ë_    __ _    ¥Ë_    _ _    ¥Ë_    ___ _    ¥Ë_    _ _    ¥Ë_    __ _    ¥Ë_    _ _    ¥Ë_    ___ _    ¥Ë_    _ _    ¥Ë_    __ _    ¥Ë_    _ _    ¥Ë_    ___fcc.",Einguet,,manu.,"Paris, France",2.3522219,48.856614
C,"14, 15, West Gallery",France,23. Work in Precious Metals,"Statuettes, groups, eandelabras, vases, lamps, lustres, inkstands, seals, pon- iards, and other articles in fine bronze.",Duplan &s Salles,,manu.,"Paris, France",2.3522219,48.856614
C,"14, 15, West Gallery",France,23. Work in Precious Metals,"Table-services and tea-services, in various styles, with other specimens of silversmiths' work.",Odiot & Son,,manu.,"Paris, France",2.3522219,48.856614
C,"14, 15, West Gallery",France,23. Work in Precious Metals,"Figures, clocks, vases, candelabras, busts, &o. in fine bronze.",Auguste Wey- gant,,manu.,"Paris, France",2.3522219,48.856614
C,"14, 15, West Gallery",France,23. Work in Precious Metals,"Various objects of silversmith-work, jewelry, and fancy articles.",F. J. Ec- dolphe,,,"Paris, France",2.3522219,48.856614
C,"14, 15, West Gallery",France,23. Work in Precious Metals,"Articles in sheet-copper, plated with gold and silver.","L. Oesohger, Mesdaoh & Co.",,manu.,"Paris, France",2.3522219,48.856614
C,"14, 15, West Gallery",France,23. Work in Precious Metals,Silver alto-releivos and embossed work (Benevennuto Cellini's style).,F. Kis- STEtN,,manu.,"Strasburg, France",7.7521113,48.5734053
C,"14, 15, West Gallery",France,23. Work in Precious Metals,New 6tyle of clasps for ladies' apparel.,Pellerin & Co.,,manu.,"Paris, France",2.3522219,48.856614
C,"14, 15, West Gallery",France,23. Work in Precious Metals,"Bronze eandelabras, groups, lamps, &a.",Villembens & Co.,,manu.,"Paris, France",2.3522219,48.856614
C,"14, 15, West Gallery",France,23. Work in Precious Metals,Imitations of bronzes in zinc.,L. Forx & Co.,,,"Paris, France",2.3522219,48.856614
C,"14, 15, West Gallery",France,23. Work in Precious Metals,Imitation pearls.,Lelong,,manu.,"Paris, France",2.3522219,48.856614
C,"14, 15, West Gallery",France,23. Work in Precious Metals,Various articles of art in silver.,Andre Gueyton,,manu.,"Paris, France",2.3522219,48.856614
C,"14, 15, West Gallery",France,23. Work in Precious Metals,"Bronze busts, statuettes, &c.",Mme. Defevre Drumter,,,"Paris, France",2.3522219,48.856614
C,"14, 15, West Gallery",France,23. Work in Precious Metals,"Clocks, bronze and fancy articles.",Herrard,,manu.,"Paris, France",2.3522219,48.856614
C,"14, 15, West Gallery",France,23. Work in Precious Metals,Objects in platina.,"Demoutis, Chapuis & Co.",,manu.,"Paris, France",2.3522219,48.856614
C,"14, 15, West Gallery",France,23. Work in Precious Metals,"Bronzes, clocks, and statuary.",Hossot,,manu.,"Paris, France",2.3522219,48.856614
C,"14, 15, West Gallery",France,23. Work in Precious Metals,Figures in bronze.,Etex,,,"Paris, France",2.3522219,48.856614
C,"14, 15, West Gallery",France,23. Work in Precious Metals,A collection of bronzes.,A Barre,,,"Paris, France",2.3522219,48.856614
C,"13, 14, 15",France,26. Decorative Furniture and Upholstery,"A table of ebony, in the style of Louis XVX, richly gilded and inlaid, and containing materials for all varieties of drawing and painting.",J. M. Paillard,"Agent, Charles Rubsamen, 168 Spring street, New-York City.",manu.,"Paris, France",2.3522219,48.856614
C,10,Germany,26. Decorative Furniture and Upholstery,"Rosewood writing table and articles m fancy woods.-F. W. Burok, manu. Mannheim, Baden. Agent, F. P. Wiedemann, 290 Broadway, New-York City.",F. W. Burok,F. P. Wiedemann,manu.,"Mannheim, Germany",8.4660395,49.4874592
C,"13, 14, 15",France,26. Decorative Furniture and Upholstery,"Specimens of paste colors and dyed wools for the manufacture of velvet papers, with various pattern cards.","Burgh, (Sen.) P. Roedel & Co.",,manu.,"Paris, France",2.3522219,48.856614
C,"13, 14, 15",France,26. Decorative Furniture and Upholstery,"Paper-hangings of various descriptions and specimens of paste dyes, em- ployed in their manufacture.",L. F. Ceeoeuil,,manu.,"Paris, France",2.3522219,48.856614
C,"13, 14, 15",France,26. Decorative Furniture and Upholstery,Panels of richly stained papers and rolls of painted and ornamental paper- hangings.,Delicourt & Co.,,manu.,"Paris, France",2.3522219,48.856614
C,"13, 14, 15",France,26. Decorative Furniture and Upholstery,"Two transparent waterproof window-blinds, painted with historical sub- jects.",E. Morgant,,painter,"Guines, France",1.870481,50.868341
C,10,Germany,26. Decorative Furniture and Upholstery,Richly framed looking-glasses ; looking-glass plates silvered.,Huettee & Osteb- hausen,,,"Nuremberg, Germany",11.0796553,49.4254092
C,10,Germany,26. Decorative Furniture and Upholstery,Articles and objects of various kinds in papier-mache 1 .,0. W. Fleischmann,,manu.,"Nuremberg, Germany",11.0796553,49.4254092
C,"13, 14, 15",France,26. Decorative Furniture and Upholstery,Cabinet work carved in various styles.,"A E. Ringuet, Leprince & St. Co.,",,manu.,"Paris, France",2.3522219,48.856614
C,"13, 14, 15",France,26. Decorative Furniture and Upholstery,Specimens of richly wrought cabinet work.,Fredk. Gooht,,manu.,"Paris, France",2.3522219,48.856614
C,"13, 14, 15",France,26. Decorative Furniture and Upholstery,Articles of elegant drawing-room furniture.,"Balny, Jr.",,manu.,"Paris, France",2.3522219,48.856614
C,"13, 14, 15",France,26. Decorative Furniture and Upholstery,Specimens of paper-hangings of various descriptions.,Zuber & Co.,,manu.,"Rixheim, France",7.396834,47.744376
C,"13, 14, 15",France,26. Decorative Furniture and Upholstery,Specimens of ornamental stair banisters in wood.,J. F. Feron,,manu.,"Paris, France",2.3522219,48.856614
C,"13, 14, 15",France,26. Decorative Furniture and Upholstery,A grand tableau of decorative wall papers.,Jules Desfosse,,manu.,"Paris, France",2.3522219,48.856614
C,10,Germany,26. Decorative Furniture and Upholstery,A variety of gilt mouldings.,F. A. Kirchee,,manu.,"Halle, Germany",11.9688029,51.4969802
C,"13, 14, 15",France,26. Decorative Furniture and Upholstery,Rich cabinet furniture.,S. Mombro,,manu.,"Paris, France",2.3522219,48.856614
C,10,Germany,26. Decorative Furniture and Upholstery,Gold headings for frames and cornices.,A. Boge,,manu.,"Berlin, Germany",13.404954,52.5200066
C,"13, 14, 15",France,26. Decorative Furniture and Upholstery,Four ornamental chimney screens.,A. Durut,,manu.,"Paris, France",2.3522219,48.856614
C,10,Germany,26. Decorative Furniture and Upholstery,Rosewood writing-table and plate chest.,Riegelmann,,manu.,"Bremen, Germany",8.8016937,53.0792962
C,"13, 14, 15",France,26. Decorative Furniture and Upholstery,Three rich picture frames.,Guionnet,,,"Paris, France",2.3522219,48.856614
C,"13, 14, 15",France,26. Decorative Furniture and Upholstery,Richly carved furniture.,Blanzi & Co.,,manu.,"Bologne, France",5.141196,48.202076
C,10,Germany,26. Decorative Furniture and Upholstery,Specimens of furniture.,Woltzen,,manu.,"Bremen, Germany",8.8016937,53.0792962
C,10,Germany,26. Decorative Furniture and Upholstery,Bureau.,Wischmann,,manu.,"Bremen, Germany",8.8016937,53.0792962
C,24,France,"27. Manufactures in Marble, Slate, etc.","Marble, mosaic and inlaid tables.",Liesciung & Torasse,,manu.,"Paris, France",2.3522219,48.856614
C,24,France,"27. Manufactures in Marble, Slate, etc.",Specimens of imitation-marbles.,Stanislas Benoit,,manu.,"Paris, France",2.3522219,48.856614
C,24,France,"27. Manufactures in Marble, Slate, etc.",Specimen of new plastic material.,H. A. Gaullie,,,"Paris, France",2.3522219,48.856614
C,24,France,28. Other Manufactures from Animal and Vegetable Substances,Specimens of water-proof articles.,Ann. Dutertre,,manu.,"Paris, France",2.3522219,48.856614
C,24,France,28. Other Manufactures from Animal and Vegetable Substances,"""Wicker baskets and other articles.",Gerard,,manu.,"Tours, France",0.6848,47.3941
C,24,France,28. Other Manufactures from Animal and Vegetable Substances,A barrel upon a new principle.,L. J. Cheval,,prop.,"Raismes, France",3.484984,50.392546
C,24,France,28. Other Manufactures from Animal and Vegetable Substances,A variety of fine brushes.,George,,manu.,"Paris, France",2.3522219,48.856614
C,"7, 8, 9,",France,30. Musical Instruments,"Rue de Sevres, Paris. Upright seven-octave pianoforte, with semi-oblique strings. Upright rose- wood pianoforte, with vertical strings.","rJ"". Detie & Co,",,manu.,"Paris, France",2.3522219,48.856614
C,"7, 8, 9,",France,30. Musical Instruments,"Cornet a piston, and other military musical instruments, richly ornamented. G. A Besson, manu. 7 Rue de Trois Courronnes, Paris.",G.A. Besson,,manu.,"Paris, France",2.3522219,48.856614
C,"7, 8, 9,",France,30. Musical Instruments,"Upright pianoforte, of rosewood, with bronze ornaments.",Musaed Brothers,,manu.,"Paris, France",2.3522219,48.856614
C,"7, 8, 9,",France,30. Musical Instruments,"Musical instruments of brass and wood, for military bands.",A. Sax,,manu.,"Paris, France",2.3522219,48.856614
C,"7, 8, 9,",France,30. Musical Instruments,Mechanical Piano and appliances. Ordinary pianoforte.,A Debain,,manu.,"Paris, France",2.3522219,48.856614
C,"7, 8, 9,",France,30. Musical Instruments,"Two Pianofortes, constructed upon a new principles.",J. F. Zieglek,,manu.,"Paris, France",2.3522219,48.856614
D,,Holland,2. Chemical and Pharmaceutical,Specimens of white lead manufactured by a new process.,G. A. B. Sohiee- enberg,,inv. & manu.,"Detmold, Holland",,
D,,Holland,2. Chemical and Pharmaceutical,Specimens of Friesland green and other colors.,Sukinqke & Sons,,manu.,"Groningen, Holland",6.5665018,53.2193835
D,,Holland,2. Chemical and Pharmaceutical,Veterinary medicines of various descriptions.,A. Joeretsma,,inv.,"Dokkum, Holland",6.0001461,53.3255453
D,,British-Guiana,3. Substances used as Food,"Plaintains (musa paradisiaca), unripe, ripe, and sliced; plaintain meal, and vinegar from the ripe fruit.",Samuel Blair,,,"Inver Island, British-Guiana",,
D,,British-Guiana,3. Substances used as Food,"Coffee (coffea Ai-abica), specimens in the outer husk, second skin and pearl; cocoa seeds.","A. D. Vander, Gon Netscher",,,"Demarara, British-Guiana",-58.1551255,6.8012793
D,,British-Guiana,3. Substances used as Food,"Maize (zea mays), coffee, bread fruit (arto carput incisa), dried and sliced, and seed of the tobacco.",W. C. McClintook,,,"Pomeroon, British-Guiana",-58.7354248,7.4295969
D,,British-Guiana,3. Substances used as Food,"Rice, cocoa-seeds (tbeobroma cocoa), and tobacco, prepared by the Indians.",John Cullen,,,"Morocco Creek, British-Guiana",,
D,,British-Guiana,3. Substances used as Food,"Maize; pigeon pease dried (cajanus fiavus); capsicum dried and ground"" Birambi fruit (averrhoa sp).",J. S. Stutchbury,,,"Stutchbury, British-Guiana",,
D,,British-Guiana,3. Substances used as Food,"Coffee (pearl) ; plantation meal ; cassareep, the inspissated juice of the cassava.",George Tighe,,,"Tighe, British-Guiana",,
D,,British-Guiana,3. Substances used as Food,Cassava bitter meal bread ; arrow root (maranta arundinocea).,H. Gar- nett,,,"Essequebo, British-Guiana",-58.501425,4.2641547
D,,British-Guiana,3. Substances used as Food,"Vacuum pan sugar, colored and uncolored; specimens of rum.",Thomas Porter,,,"Demarara, British-Guiana",-58.1551255,6.8012793
D,,British-Guiana,3. Substances used as Food,"Cassava bitter roots, dried and in meal; Cassareep.",Mrs. McClintook,,,"Pomeroon, British-Guiana",-58.7354248,7.4295969
D,,Newfoundland,3. Substances used as Food,Specimens of barley and oats.,Newfoundland Agricultural Society,,,"St. Johns, Newfounland",-52.7125768,47.5615096
D,,Holland,3. Substances used as Food,Alimentary preserves.,N. H. A Janssen,,manu.,"Hertsgenbosch, Holland",5.3036748,51.6978162
D,,Holland,3. Substances used as Food,Samples of succory.,W. Feb Hoest & Co.,,manu.,"Leenwarden, Holland",5.7999133,53.2012334
D,,British-Guiana,3. Substances used as Food,"Banana (musa sapientum), ripe.",Mrs. Blair,,,"Inver Island, British-Guiana",,
D,,British-Guiana,3. Substances used as Food,Stinking weed seed (cassea occidentalis).,D. J. Ross,,,"Ross, British-Guiana",,
D,,British-Guiana,3. Substances used as Food,Samples of sugar and colored rum.,W. P. & E. T. Henry,,,"Berbice, British-Guiana",-57.5249708,6.2989153
D,,British-Guiana,3. Substances used as Food,Rice (oryza sativa) from Caniee Creek.,E. T. Henry,,,"Berbice, British-Guiana",-57.5249708,6.2989153
D,,British-Guiana,3. Substances used as Food,"Cassava bitter meal, baked into bread.",Mrs. Haly,,,"Demarara, British-Guiana",-58.1551255,6.8012793
D,,British-Guiana,3. Substances used as Food,Capsicums and samples of pickles.,W. H. Holmes,,,"Holmes, British-Guiana",,
D,,British-Guiana,3. Substances used as Food,Sugar loaves and samples of sugar.,James Laing,,,"Berbice, British-Guiana",-57.5249708,6.2989153
D,,British-Guiana,3. Substances used as Food,"Cassava, sweet, and meal.",Mrs. Stutchbury,,,"Demarara, British-Guiana",-58.1551255,6.8012793
D,,British-Guiana,3. Substances used as Food,"Rice from Canjee Creek, Berbice.",G. P. Townsend,,,"Berbice, British-Guiana",-57.5249708,6.2989153
D,,Newfoundland,3. Substances used as Food,Preserved salmon.,Bully & MrrcnTLL,,,"St. Johns, Newfoundland",-52.7125768,47.5615096
D,,British-Guiana,3. Substances used as Food,Bread fruit farina.,H. Cartwright,,,"Essequebo, British-Guiana",-58.501425,4.2641547
D,,British-Guiana,3. Substances used as Food,Vacuum pan sugar.,George Anderson,,,"Demarara, British-Guiana",-58.1551255,6.8012793
D,,British-Guiana,3. Substances used as Food,"Vanilla, dried fruit.",Mrs. Donald,,,"Demarara, British-Guiana",-58.1551255,6.8012793
D,,British-Guiana,3. Substances used as Food,Plaintain meal.,George Ross,,,"Demarara, British-Guiana",-58.1551255,6.8012793
D,,Newfoundland,3. Substances used as Food,"Pickled, or salted herrings.",Committee,,,Newfoundland,-57.6604364,53.1355091
D,,Newfoundland,3. Substances used as Food,Dry codfish.,Committee,,,Newfoundland,-57.6604364,53.1355091
D,,British-Guiana,4. Vegetable and Animal Substances,Locust tree gum resin (Hymeuoea eourbant).,Henry Murray,Morrison & Knox,,"Demarara, British-Guiana",-58.1551255,6.8012793
D,,British-Guiana,4. Vegetable and Animal Substances,"Saouari (Caryaca tomeatosnm) ; Itava (Blakea triplinerva) ; hog plum (Spondia lutea) hill mangrove; Taruri (Aspidospermum excelsum); Sirada (Acasia sp. ?) Carapa (Xylocarpus Carapa) a series of barks for tanning ; koquerite seeds (Maximiliana regia!); arrow reeds ; annatto, prepared in oil ; kumkururu seeds ; pinguini leaves, (Bromelia sp. ?).",E. S. Brotherson,,,"Demarara, British-Guiana",-58.1551255,6.8012793
D,,British-Guiana,4. Vegetable and Animal Substances,Ita-palm fibre (Mauritia flexuosa) made into twine ; seed vessels of the monkey pot (bethis grand flora) ; Troolie palm fibre (Manicaria. saccifera) ; mora tree (Mora excelsa) ; Indian or buckshot seed ; acuyuri seeds ; Palm seeds pro- ducing vegetable ivory ; inner bark of the black kakaralli; Indian dye; caout- chouc.,W. McClinjdok,,,"Pomeroon, British-Guiana",-58.7354248,7.4295969
D,,Holland,4. Vegetable and Animal Substances,"Starch, known in Holland under the name of Urhngs Patent Starch.",U C. Pnras & Co.,,manu.,"Wormerveer, Holland",4.7980674,52.4903502
D,,British-Guiana,4. Vegetable and Animal Substances,"Plantain fibre from steins six to eight months old ; and after bearing fruit. Agave, or wild aloe fibre (Agave Americana). Cotton cleaned, (Gossypium arbore- um).",A. D. Vander Von Netscher,,,"Demarara, British-Guiana",-58.1551255,6.8012793
D,,British-Guiana,4. Vegetable and Animal Substances,"Ita or manita palm fibre , hammock rope ; mahoe fibre (Thespesia popu- luea) ; silk grass ; bitter cassava starch, annatto and prepared seed (Bixa arellana).",John Cullen,,,"Essequebo, British-Guiana",-58.501425,4.2641547
D,,British-Guiana,4. Vegetable and Animal Substances,"Cotton cleaned, from Mahaica river ; plantain starch fibre, and dried stem, from Inver Island ; Rhizaphoria mangle for dying chocolate color, from Demarara river.",Daniel Blaib,,,"Demarara, British-Guiana",-58.1551255,6.8012793
D,,British-Guiana,4. Vegetable and Animal Substances,"Cotton ; brown variety, from interior British Guiana.",H. C. Betts,,,"Demarara, British-Guiana",-58.1551255,6.8012793
D,,British-Guiana,4. Vegetable and Animal Substances,A collection of transverse and vertical sections of woods for building and other purposes from Demarara river.,John Mansfield,,,"Demarara, British-Guiana",-58.1551255,6.8012793
D,,British-Guiana,4. Vegetable and Animal Substances,"A collection of transverse and vertical sections of woods from the penal settlements, Essequebo.",H. Caktw right,,,"Essequebo, British-Guiana",-58.501425,4.2641547
D,,Holland,4. Vegetable and Animal Substances,"Oil-seed cakes, glues, oils, and gelatine.",A M. Oomem,,manu.,"Breda, Holland",4.768323,51.5719149
D,,Holland,4. Vegetable and Animal Substances,"East India rattans, cleaned and prepared.",Van Vollenhoven & Co.,,manu.,"Gonder, Holland",,
D,,Holland,4. Vegetable and Animal Substances,Specimens of elastic gum ; india-rubber.,H. De Cleeot,,manu.,"Haarlem, Holland",4.6462194,52.3873878
D,,Holland,4. Vegetable and Animal Substances,"Varnish, artificial oil, and printing ink.",Louis Vanson,,manu.,"Dordt, Holland",,
D,,British-Guiana,4. Vegetable and Animal Substances,"Ipecacuanha; wild cotton or down, (Asclepiascurassanica).",G. McFarlane,,,"Demarara, British-Guiana",-58.1551255,6.8012793
D,,British-Guiana,4. Vegetable and Animal Substances,Tonquin beans (Dipterix odorata) fruit and in capsule.,Mrs. Holmes,,,"Demarara, British-Guiana",-58.1551255,6.8012793
D,,Holland,4. Vegetable and Animal Substances,Samples of dogs' wool.,Hon. Feding Van Beenhaut,,,"Herrman, Holland",,
D,,Holland,4. Vegetable and Animal Substances,Colors and varnishes.,J. H. Nooetveen & Co.,,manu.,"Leyden, Holland",4.4970097,52.1601144
D,,British-Guiana,4. Vegetable and Animal Substances,A collection of sections of woods from Demarara river.,John Outridge,,,British-Guiana,-58.1657124,6.813476
D,,British-Guiana,4. Vegetable and Animal Substances,Milk from cow tree (Tubernoe montana utilis).,W. H. Holmes,,,"Demarara, British-Guiana",-58.1551255,6.8012793
D,,British-Guiana,4. Vegetable and Animal Substances,Plantain fibre (Musa paradisiaca) ochre fibre.,John Allt,,,"Demarara, British-Guiana",-58.1551255,6.8012793
D,,Holland,4. Vegetable and Animal Substances,Specimens of gelatine and glue.,W. J. Poei,,,"Zaandam, Holland",4.8291992,52.4420399
D,,Newfoundland,4. Vegetable and Animal Substances,Seal oil.,Prepared for the Committee by I. J. Dearin,,preparator,"St. Johns, Newfounland",-52.7125768,47.5615096
D,,British-Guiana,4. Vegetable and Animal Substances,Hyawa or incense gum (Scica heptaphyta).,John Cullen,,,"Demarara, British-Guiana",-58.1551255,6.8012793
D,,British-Guiana,4. Vegetable and Animal Substances,"Silk-grass plant, (Bromelia sp.)",H. M. Greece,,,"Demarara, British-Guiana",-58.1551255,6.8012793
D,,British-Guiana,4. Vegetable and Animal Substances,Silk-grass fibre. Bitter cassava starch.,Gko. Ross,,,"Demarara, British-Guiana",-58.1551255,6.8012793
D,,Holland,4. Vegetable and Animal Substances,Samples of starch.,Evert de Jagee,,manu.,"Zaandijk, Holland",4.8028179,52.4740433
D,,British-Guiana,4. Vegetable and Animal Substances,Spines from trunks of various palms.,E. S. Magill,,,"Demarara, British-Guiana",-58.1551255,6.8012793
D,,British-Guiana,4. Vegetable and Animal Substances,Snake nuts (Ophroeungon paradonum).,R. J. Knowles,,,"Demarara, British-Guiana",-58.1551255,6.8012793
D,,British-Guiana,4. Vegetable and Animal Substances,A collection of woods from Massurooni river.,N. Buchanan,,,British-Guiana,-58.1657124,6.813476
D,,British-Guiana,4. Vegetable and Animal Substances,Turmeric (Curcuma Longa).,J. S. Stutohbury,,,"Berbice, British-Guiana",-57.5249708,6.2989153
D,,British-Guiana,4. Vegetable and Animal Substances,Job's tears' seeds (Coix lachryma).,S. Magill,,,"Demarara, British-Guiana",-58.1551255,6.8012793
D,,British-Guiana,4. Vegetable and Animal Substances,Soap berries (Sapinidus saponaria).,Mrs Blair,,,"Demarara, British-Guiana",-58.1551255,6.8012793
D,,Holland,4. Vegetable and Animal Substances,Salt and madders.,0. Veehaqen,,manu.,"Goes, Holland",3.8911304,51.5046455
D,,British-Guiana,4. Vegetable and Animal Substances,Bartaballi or marmalade apple.,A. M. Green,,,"Demarara, British-Guiana",-58.1551255,6.8012793
D,,Newfoundland,4. Vegetable and Animal Substances,Seal oiL,Prepared by Walter Dillon,,preparator,"St. Johns, Newfounland",-52.7125768,47.5615096
D,,British-Guiana,4. Vegetable and Animal Substances,"Cassava starch, Mrs. MoClintook, Demarara.",Mrs. MoClintook,,,"Demarara, British-Guiana",-58.1551255,6.8012793
D,,British-Guiana,4. Vegetable and Animal Substances,Annatto seed.,John Morison,,,"Demarara, British-Guiana",-58.1551255,6.8012793
D,,British-Guiana,4. Vegetable and Animal Substances,Banana fibre.,John Lawrie,,,"Lawrie, British-Guiana",,
D,,British-Guiana,4. Vegetable and Animal Substances,Annatto seed.,George Ross,,,"Demarara, British-Guiana",-58.1551255,6.8012793
D,,British-Guiana,4. Vegetable and Animal Substances,Mimosa seeds.,rnoMAS Hunt,,,"Demarara, British-Guiana",-58.1551255,6.8012793
D,,British-Guiana,4. Vegetable and Animal Substances,Ochre fibre,W. P. Latorff,,,"Demarara, British-Guiana",-58.1551255,6.8012793
D,,British-Guiana,4. Vegetable and Animal Substances,Snake nuts.,Mrs. Donald,,,"Demarara, British-Guiana",-58.1551255,6.8012793
D,,British-Guiana,4. Vegetable and Animal Substances,Snake nuts.,W. Lyng,,,"Demarara, British-Guiana",-58.1551255,6.8012793
D,"18, 19, 20",Austria,8. Naval Architecture and Military Engineering,Specimens of firearms and gun hardware.,Valentine Schaschl,,manu.,"Ferlach, Austria",14.298923,46.5268799
D,"18, 19, 20",Austria,8. Naval Architecture and Military Engineering,Double barrelled gun and pan of pistols.,J. Kernier,,manu.,"Pesth, Austria",,
D,"18, 19, 20",Austria,8. Naval Architecture and Military Engineering,Patent copper percussion caps.,Sellier & Bellot,,manu.,"Prague, Austria",14.4035188,50.0747262
D,,Holland,"9. Agricultural, Horticultural, and Dairy Machinery.","Earth borer, to promote the vegetation of fruit and other trees.",J. K Son- dermeyer,,manu.,"Rotterdam, Holland",4.4777325,51.9244201
D,"18, 19, 20",Austria,"9. Agricultural, Horticultural, and Dairy Machinery.",Scythes and straw-cutting knives.,Gottfried Beyerle,,manu.,"Waidhofen, Austria",14.77283,47.96023
D,,Holland,"9. Agricultural, Horticultural, and Dairy Machinery.",Swing plough of a new construction.,W. Jenken,,manu.,"Utrecht, Holland",5.1214201,52.0907374
D,"18, 19, 20",Austria,"9. Agricultural, Horticultural, and Dairy Machinery.",Samples of scythes.,G. Hierzenberger,,manu.,"Leonstein, Austria",14.23109,47.89509
D,"18, 19, 20",Austria,"9. Agricultural, Horticultural, and Dairy Machinery.",Scythes and chaft'-cutters.,S. Pama,,manu.,"Schalchen, Austria",13.1564441,48.1191617
D,"18, 19, 20",Austria,"9. Agricultural, Horticultural, and Dairy Machinery.",Samples of scythes.,J. Weinmeister,,manu.,"Briihthal, Austria",,
D,"18, 19, 20",Austria,"9. Agricultural, Horticultural, and Dairy Machinery.",Scythes and sickles.,J. M. Offxer,,manu.,"Wolfsberg, Austria",14.84277,46.8401
D,"18, 19, 20",Austria,"9. Agricultural, Horticultural, and Dairy Machinery.",Different kinds of scythes.,J. Penz,,manu.,"Muhlerau, Austria",,
D,"18, 19, 20",Austria,"9. Agricultural, Horticultural, and Dairy Machinery.",Different kinds of scythes.,A. Gait,,manu.,"Kufstein, Austria",12.16275,47.58237
D,"11, 16, 17, 22",USA,10. Philosophical Instruments (including Daguerreotypes,"80 Daguerreotypes, representing Shakspeare's "" Seven ages of men ;"" taken from life-subjects","Portrait of Daguerre, from life","---Meade Brothers, Daguerrean Artists, 233 Broadway, New- York City",daguerran artist,"New York City, NY",-90.197889,38.627273
D,"11, 16, 17, 22",USA,10. Philosophical Instruments (including Daguerreotypes,63 Improved coating box for the daguerreotype process,Card distributing apparatus,(Patents applied for),manu.,"New York City, NY",-76.127984,43.411297
D,"11, 16, 17, 22",USA,10. Philosophical Instruments (including Daguerreotypes,62 A large collection of photographic portraits and pictures from members of the association,"New- York State Daguerrean Association, (George N","Barnard, Sec),",secretary,"Oswego, NY",-73.986581,40.730599
D,"11, 16, 17, 22",USA,10. Philosophical Instruments (including Daguerreotypes,79 Tableau of elegantly mounted daguerreotypes,J,"H Fitzgibbon, Daguer- rean Artist, St",daguerran artist,"St. Louis, Missouri",-73.986581,40.730599
D,"11, 16, 17, 22",USA,10. Philosophical Instruments (including Daguerreotypes,Allen's improved education tables of movable block letters.,James C Harriott,James C Harriott,agent,"New York City, New York",-74.0059413,40.7127837
D,"11, 16, 17, 22",USA,10. Philosophical Instruments (including Daguerreotypes,American mechanical leech and a variety of surgical instruments.,Joel Bartlett,Joel Bartlett,agent,"New York City, New York",-74.008416,40.709683
D,"11, 16, 17, 22",USA,10. Philosophical Instruments (including Daguerreotypes,115 Obstetrical instruments,J,P,,"Philadelphia, PA",-73.986581,40.730599
D,"11, 16, 17, 22",USA,10. Philosophical Instruments (including Daguerreotypes,"162 Whitney's respiratory medicator, for the treatment of consumption, Ac",Drs,"Whitney <fe Crane, prop",prop.,"New York City, NY",-73.986581,40.730599
D,"11, 16, 17, 22",USA,10. Philosophical Instruments (including Daguerreotypes,"Scales and rules for mechanics, architects, surveyors, &c, in boxwood and ivory.",,William Belcher,manu.,"New York City, New York",-74.002805,40.708607
D,"11, 16, 17, 22",USA,10. Philosophical Instruments (including Daguerreotypes,A variety of daguerreotype pictures.,Antony C. Zucky,,artist,"New York City, New York",-73.996585,40.717373
D,"11, 16, 17, 22",USA,10. Philosophical Instruments (including Daguerreotypes,"New style of bronzed clocks, vases, and ornaments.","Joseph H. Burnett, & Co.",,manu.,"New York City, New York",-74.0059413,40.7127837
D,"11, 16, 17, 22",USA,10. Philosophical Instruments (including Daguerreotypes,Variety of mathematical instruments.,Charles F. Amsler,,manu.,"Philadelphia, Pennsylvania",-75.1652215,39.9525839
D,"11, 16, 17, 22",USA,10. Philosophical Instruments (including Daguerreotypes,"Artificial palate, with teeth.","Warren Rowell, dentist",,dentist,"New York City, New York",-73.952451,40.684703
D,"11, 16, 17, 22",USA,10. Philosophical Instruments (including Daguerreotypes,Daguerreotype pictures.,Ernest Van Heeringen,,Daguerran artist,"Philadelphia, Pennsylvania",-75.1652215,39.9525839
D,"11, 16, 17, 22",USA,10. Philosophical Instruments (including Daguerreotypes,"Planetarium of entirely new construction, showing the actual motions of the Sun, Earth, Moon, Mercury, and Venus, with all the phases of the planets, changes of the seasons, and other astronomical phenomena.",Thomas H. Barlow,,prop.,"Lexington, Kentucky",-84.5037164,38.0405837
D,"11, 16, 17, 22",USA,10. Philosophical Instruments (including Daguerreotypes,Improved stereoscope. (Patent applied for.),Otis F. Peters,,inv.,"New York City, New York",-74.002535,40.718412
